turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
114,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9998130310086586,ce38e723-859f-41d4-a5a4-2d157af73574,113
114,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.999813030980886,ce38e723-859f-41d4-a5a4-2d157af73574,113
114,10,a136ef62-ec6e-4f13-9411-8943588b041a,1.0,f95833c9-0574-4fe5-8316-3c20357da386,113
115,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9997792327615629,ce38e723-859f-41d4-a5a4-2d157af73574,114
115,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9997792324560748,ce38e723-859f-41d4-a5a4-2d157af73574,114
115,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9997792324283031,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,114
115,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9997792324005315,353f67e4-6ffa-4386-854f-de3da3af850a,114
115,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9997792323727598,ce38e723-859f-41d4-a5a4-2d157af73574,114
115,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9997792323449882,c37f333d-63e0-417f-b8d5-d251477f7eea,114
115,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9997792323172165,a7985c10-d97f-45bb-b3da-11433108ba43,114
115,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9997792323172165,ce38e723-859f-41d4-a5a4-2d157af73574,114
115,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9997792322894449,ce38e723-859f-41d4-a5a4-2d157af73574,114
115,10,1ce9d8e6-50e2-493a-a7b0-35c931623ebd,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,114
116,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.999764480544618,ce38e723-859f-41d4-a5a4-2d157af73574,115
116,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9997644802946768,ce38e723-859f-41d4-a5a4-2d157af73574,115
116,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9997644802669056,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,115
116,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9997644802391343,353f67e4-6ffa-4386-854f-de3da3af850a,115
116,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9997644802113631,ce38e723-859f-41d4-a5a4-2d157af73574,115
116,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9997644801835919,c37f333d-63e0-417f-b8d5-d251477f7eea,115
116,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9997644801835919,a7985c10-d97f-45bb-b3da-11433108ba43,115
116,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9997644801280494,ce38e723-859f-41d4-a5a4-2d157af73574,115
116,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9997644801002782,ce38e723-859f-41d4-a5a4-2d157af73574,115
117,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993035946028784,ce38e723-859f-41d4-a5a4-2d157af73574,116
117,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993035943530525,ce38e723-859f-41d4-a5a4-2d157af73574,116
117,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.999303594325294,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,116
117,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.999303594325294,353f67e4-6ffa-4386-854f-de3da3af850a,116
117,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993035942975357,ce38e723-859f-41d4-a5a4-2d157af73574,116
117,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993035942697772,c37f333d-63e0-417f-b8d5-d251477f7eea,116
117,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993035942697772,a7985c10-d97f-45bb-b3da-11433108ba43,116
117,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993035942420188,ce38e723-859f-41d4-a5a4-2d157af73574,116
117,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993035942420188,ce38e723-859f-41d4-a5a4-2d157af73574,116
117,10,17b8331a-c469-4a38-8a71-554ba3b648a5,1.0,ca9dc650-d624-4750-8011-f8134af19439,116
118,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9992774963260105,ce38e723-859f-41d4-a5a4-2d157af73574,117
118,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9992774960761911,ce38e723-859f-41d4-a5a4-2d157af73574,117
118,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9992774960761911,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,117
